Cabernet Sauvignon Barton Guestier;Каберне-Совиньон Бартон И Гестье
Merlot Barton Guestier;Мерло Бартон И Гестье
Sauvignon Blanc Cotes de Gascogne;Совиньон Блан Кот де Гасконь
Lugana Ca`Maiol;Люгана Ка'Майоль
Bosio Gavi;Бозио Гави
Bosio Langhe Arneis;Бозио Ланге Арнеис
Opera;Опера
Amarone della Valpolicella Classico La Bastia Ca'de'Rocchi;Амаронэ Делле Вальполичелла Ла Бастия Ка'Де'Рокки
Valpolicella Superiore Ripasso Montere Ca'de'Rocchi;Вальполичелла Сюперьоре Рипассо Монтере Ка'Де'Рокки
Corvina della Provincha di Verona Montere Ca'de'Rocchi;Корвина Делла Провинча Ди Верона Монтере Ка'Де'Рокки
Valpolicella Ca'de'Rocchi;Вальполичелла Ка'Де'Рокки
Soave Ca’de’Rocchi;Соаве Ка'Де'Рокки
Merlot Prato del Faggio Ca'de'Rocchi;Мерло Прато Дель Фаджо Ка'Де'Рокки
Cabernet Sauvignon Merlot Dugal Ca'de'Rocchi;Каберне Совиньон Мерло Дугаль Ка'Де'Рокки
Pinot Grigio Delle Venezie Ca'de'Rocchi;Пино Гриджо Делле Венецие Ка'Де'Рокки
Negroamaro Megale Salento;Негро Амаро Саленто Мегале Фуэдо Ди Санта Кроче
Negro Amaro Malvasia Nera Salento Malnera;Негро Амаро-Мальвазия Неро Саленто Мальнера Фуэдо Ди Санта Кроче
Primitivo di Manduria Byzantium Feudo di Santa Croce;Примитиво Ди Мандурия Бизантиум Фуэдо Ди Санта Кроче
Shiraz Sicilia Catuj;Шираз Сицилия Катуи Виньяли Роккамора
Bardolino Classico Ca’de’Rocchi;Бардолино Классико Ка'Де'Рокки
Bardolino Chiaretto Classico Campo delle Rose Ca’de’Rocchi;Бардолино Кьяретто Кампо Делле Розе Ка'Де'Рокки
Uomo;Уомо
Grecanico Sicilia Terre Sacre;Греканико Сицилия Терре Сакре
Sangiovese Puglia Terre Sacre;Санджовезе Пулия Терре Сакре
Trebbiano d'Abruzzo Terre Sacre;Треббьяно Д'Абруццо Терре Сакре
Rosato Puglia Terre Sacre;Росато Пулия Р Терре Сакре
Malvasia Bianca-Chardonnay Puglia Monteiasi Feudo di Santa Croce;Мальвазия Бьянка Шардоне Пулия Монтейази Фуэдо Ди Санта Кроче
Malvasia Bianca Salento Alea Feudo di Santa Croce;Мальвазия Бьянка-Пулия Алеа Фуэдо Ди Санта Кроче
Merlot Puglia Terre Sacre;Мерло Пулия Р Терре Сакре
Malvasia Bianca Puglia Terre Sacre;Мальвазия Бьянка Пулия Р Терре Сакре
Merlot Gaio;Мерло Пулия Гайо
Gavi San Matteo;Сан Маттео Гави С
Borgo Al Sole;Борго Аль Соле
Borgo Al Sole;Борго Аль Соле
Borgo Al Sole;Борго Аль Соле
Borgo Al Sole;Борго Аль Соле
Terre Sacre Merlot Puglia;Мерло Пулия Р Терре Сакре
Kossler Sauvignon;Кёсслер Совиньон
Kossler hardonnay;Кёсслер Шардоне
Kossler Gewurztraminer;Кёсслер Гевюрцтраминер
Kossler Pinot Grigio;Кёсслер Пино Гриджио
Kossler Lagrein;Кёсслер Лагрейн
Pinot Bianco Pinot Grigio Ista Ca'De'Rocchi IGP;Пино Бьянко Пино Гриджио Иста Ка'де'Рокки
Bardolino Tenuta Curezza Bardolino Classico;Бардолино Классико Тенута Курецца Р
Tenuta Curezza Pinot Grigio;Пино Гриджио Делле Венецие Тенута Курецца Р
Tenuta Curezza Valpolicella;Вальполичелла Тенута Курецца Р
Terre Calde Montepulciano D’Abruzzo;Монтепульчано Д'Абруццо Террекальде Р
Vignali Roccamora Carlo Alfano;Карло Альфано Виньяли Роккамора
Sangiovese Feudo di Santa Croce;Санджовезе Феудо Ди Санта Кроче Р
Bardolino Ca de Rocchi DO;Бардолино Ка'Де'Рокки Р
Ista Ca'de'Rocchi;Иста Ка'Де'Рокки
Malnera Feudo di Santa Croce;Мальнера Феудо Ди Санта Кроче Р
Bardolino Tenuta Curezza;Бардолино Тенута Курецца Р
Amarone della Valpolicella Classico Tommasi;Амароне Делла Вальполичелла Агрикола Томмази
Orvieto;Орвието С
Bordeaux Cheteau Gaseno;Бордо Шато Газено
Chateau des Correges Cotes Du Rhone;Шато Де Корреж Кот Дю Рон АОС
Chateau Carbonnieux Grand Cru Classe De Graves Pessac-Leognan;Шато Карбоньё Гран Крю Классе Де Грав Пессак-Леоньян
Chateau Cos Labory Grand Cru Classe Saint-Estephe;Шато Кос Лабори Гран Крю Классе Сэнт-Эстеф
Chateau Vernous Medoc Cru Bourgeois;Шато Верну Медок Крю Буржуа АОС
Chateau Virou;Шато Виру АОС
Chateau Placette Fronzac;Шато Пласетт
Chateau Haut Bourbon Bordeaux;Шато О Бурбон
Chateau Vernous Medoc Cru Bourgeois;Шато Верну АОС
Chateau Vaisinerie;Шато Вэзинери АОС
Chateau Les Eyquem Cuvee Hautes Graves;Шато Ле Эйкем Кюве От Грав
Château Lafleur Vauzelle;Шато Ляфлер Возель АОС
Chateau Graviere;Шато Гравьер
Chateau Lafleur Vauzelle Grande Selection Lalande De Pomerol;Шато Ляфлер Возель Гранд Селексьон АОС
Chateau Chene De Gombeau;Шато Шен Де Гомбо АОС
Chateau Virou Vieilles Vignes Premieres Cotes De Blaye;Шато Виру Вьей Винь
Quercus Chateau Vaisinerie;Керкюс Шато Вэзинери
Chateau Grand Moulinet;Шато Гран Мулине АОС
Chateau des Biscarets Tilleuls de Gauthier;Шато Де Бискарэ Тийоль Де Готье
Chateau Vaillart la Mongie;Шато Вайяр Ля Монжи
Chateau Vaillart La Mongie;Шато Вайяр Ля Монжи
Chateau La Jarre;Шато Ляжар
Chateau Vieux Castenet;Шато Вье Кастене АОС
Chateau Senilhac Dilhac;Шато Сенилак Дилак АОС
Chateau Saint Floran Cuvee Dominique;Шато Сен-Флоран Кюве Доминик
Chateau Les Nauds;Шато Ле Но
Chateau Janon;Шато Жанон АОС
Chateau Labarthe;Шато Лабарт АОС
Chateau Moulin De Laurent Mandrin;Шато Мулен Де Лоран Мандрин
Chateau Janon;Шато Жанон АОС
Segla Margaux;Сегла Марго
Chateau Soutard Saint-Emilion Grand Cru Classe;Шато Сутар Гран Крю Классе Сент-Эмильон
Saint-Estephe Chateau Lafon Rochet Grand Cru Classe;Шато Лафон-Роше Гран Крю Классе Сент-Эстеф
Chateau Nenin;Шато Ненан Помроль
Chateau Bassac Bordeaux;Шато Басак Бордо АОС
Chateau Bassac Bordeaux OAC;Шато Басак Бордо АОС
Chateau Bellevue Bordeaux;Шато Бельвю Бордо АОС
Chateau Haut Maginet Rouge Bordeaux AOC;Шато О Мажине
Chateau Haut Maginet Blanc Bordeaux AOC;Шато О Мажине
Laville Pavillon Bordeaux Blanc Moelleux;Лавиль Павийон Бордо Блан Муалле
Bouchard Aine et Fils Cotes-du-Rhone C Blanc;Бушар Энэ Фис Кот Дю Рон
