brand,alias
saint-estephe,сэнт-эстеф
marroniers,маронье
santa,бьянка
amaro,мальнера
carbonnieux,карбонье
gaffeliere,гафельер
carmignano,карминьяно
pinot,ка'де'рокки
hardonnay,шардоне
chateau,вайяр
sordo,бароло
floran,сен-флоран
sangiovese,санджовезе
negro,фуэдо
amaro,фуэдо
blanc,бушар
chateau,кастене
faggio,фаджо
saint-emilion,сент-эмильон
vignali,виньяли
megale,негро
castelgiocondo,кастельджокондо
chateau,сутар
bouchard,бушар
malvasia,мальнера
bordeaux,бордо
ca’de’rocchi,ка'де'рокки
chateau,лакас
d’abruzzo,д'абруццо
chiaretto,кьяретто
vaisinerie,вэзинери
gombeau,гомбо
chardonnay,шардоне
bellevue,бельвю
d'abruzzo,д'абруццо
sancerre,сансер
l'aumerade,л'омерад
ca`maiol,ка'майоль
gauthier,готье
billard,бийар
dubreil,дюбрей
viejo,вьеха
coulonge,кулонж
laurent,лоран
shiraz-tempranillo,сира-темпранийо
moulin,лоран
cotes,корреж
ca'de'rocchi,ка'де'рокки
rosieres,розьер
vieux,кастене
della,умбрия
villa,лучиа
guestier,гестье
malvasia,мальвазия
margaux,марго
expression,экспрессьон
moelleux,муалле
chateau,гомбо
merlot,фаджо
barbotaine,барботен
rioja,вьеха
martignan,мартиньян
sauvignon,совиньон
bourgogne,бургонь
domaine,домэн
marques,маркиз
biscarets,бискарэ
vigne,бланш
cotes-du-rhone,кот-дю-рон
chateau,басак
vauzelle,возель
pessac-leognan,пессак-леоньян
saint-estephe,сент-эстеф
eyquem,эйкем
delle,ка'де'рокки
laville,муалле
jougrand,жугран
dubleil,дюбрей
chateau,готье
vernous,буржуа
white,бийар
d'anjou,д'анжу
croce,шардоне
champault,шампо
cuvee,эйкем
salento,санта
couspaude,куспод
correges,корреж
chianti,кьянти
gascogne,шардоне
rouge,муалле
jarre,ляжар
terre,муале
