brand,alias
romane,роман
domus,домус
trebbiano,треббиано
gravello,гравелло
summa,сумма
mandelgarten,мандельгартен
brut,брют
chocolate,чоклэйт
cortese,кортезе
finlandia,финляндия
orme,тром
fernando,фернандо
bin,бин
mil,миль
marchesi,маркези
lugana,люгана
east,ист
path,пас
coli,коли
d’avola,д'авола
xuxu,ксуксу
domain,домэн
cerasuolo,черазуоло
marotte,маротт
golban,гольбан
castiglioni,кастильони
rita,рита
dona,донья
becherovka,бехеровка
voisin,вуазен
quercus,керкюс
cantanhede,кантаньеде
benigno,бениньо
cruz,круз
florida,флорида
mildiani,милдиани
medio,медио
burgunder-riesling,бургундер-рислинг
liberal,либераль
condor,кондор
aegerter,эжертер
martina,мартина
wellington,веллингтон
colheita,колейта
callac,каляк
alte,альте
fritz's,фриц'с
point,поинт
capellanes,капелланас
gutturnio,гуттурнио
kabinett,кабинетт
beauregard,борегар
gamay,гаме
vintner's,винтнерс
simonsberg,симонсберг
della,делле
tempranillos,темпранильос
hermitage,эрмитаж
collepino,коллепино
pinot,вино
rosse,россе
ternynck,тернинк
closerie,клозри
arpeggio,арпеджио
chateau,кото
malvasia,мальвазия
martin,мартэн
garganega,гарганега
casal,казал
tutunjian,тутунжан
aguza,агуса
sarmientos,сармиентос
pfaffenberg,пфаффенберг
aurelio,аурелио
the,лет
lazio,лацио
k-naia,к-найя
uno,уно
moresco,мореско
valencia,валенсия
corbieres,корбьер
outback,аутбэк
luciere,люсьер
bianca,бьянка
blauer,блауер
chanoines,шануан
unico,унико
mauro,мауро
marlborough,мальборо
sevre,серв
capitani,капитани
pair,пейр
delicia,делисия
schubert,шуберт
dornfelder,дорнфельдер
barco,барко
bottaia,боттайа
weingut,вайнгут
pfaffl,пфафль
castelli,кастелли
runcneuv,рункнеу
les,пез
aneto,ането
milon,милон
semillon,семийон
kettmeir,кеттмеир
pupilla,пьюпилла
torre,торре
costa,коста
muller-grossmann,мюллер-гроссманн
honore,онор
selection,селексьон
tariquet,тарике
cerestin,серестэн
beronia,берония
pons,понс
tropical,тропикал
lianti,лианти
melograno,мелограно
carmes,карм
ponderado,пондерадо
rondone,рондоне
gaudium,гаудиум
grey,грей
rkatsiteli,ркацители
yacochuya,якочуйя
fonte,фонте
plantaze,плантаже
peduncolo,педунколо
melini,мелини
fuenteseca,фуэнтесека
urziger,урцигер
lynch,линч
geo,гео
epos,эпос
dolomiti,доломити
metz,метц
zeltinger,целтингер
emilia,эмилия
tipici,типичи
tamada,тамада
quattro,кваттро
ceretta,черетта
plagnac,планяк
norton,нортон
crab,краб
san,вай
lablu,лаблю
clementin,клементен
aurora,аурора
due,луне
fessy,фесси
blauer,блауэр
tauriga,таурига
chile,чили
carmo,карму
avo,аво
tarara,тарара
amon-ra,амон-ра
head,хед
iberiuli,ибериули
maje,маже
rioja,риоха
glana,глана
cristina,кристина
allomi,алломи
molino,молино
rosato,розато
florentino,флорентино
berry,бэрри
dono,доно
porta,порта
shira,шира
aleatico,алеатико
violas,виолас
tiempo,тьемпо
berg,берг
tra,тра
megobari,мегобари
beefeater,бифитер
dante,данте
paul,поль
vinçonnière,винсоньер
uvas,увас
not,нот
cannonau,каннонау
jacobs,джейкобс
lagarder,лагардер
decordi,декорди
valore,валоре
calcer,калькер
tbilisuri,тбилисури
appassimento,аппасименто
springs,спрингс
romanee,романе
pasas,пасас
visigodo,висигодо
nadaria,надарио
fontelo,фонтелу
praepositus,праэпозитус
sur,сюл
shiraz-petit,шираз-пти
prime,приме
nemea,немеа
fiulot,фьюлот
orca,орка
arnione,арнионе
l'aumérade,ломерад
seda,седа
tempranillo,темпранийо
fincas,финкас
branu,брану
racimo,расимо
vegia,вежа
holle,хёлле
corvina,корвина
terza,терца
ocho,очо
giscours,жискур
stellenview,стелленвью
real,реаль
fiasco,фьяско
ossian,оссиан
eichberg,айхберг
real,реал
notri,нотри
valleselle,валлеселле
flor,флор
saint-pons,сен-понс
harth,арт
governo,говерно
payaso,пайясо
sangre,сангре
morandina,морандина
lamberti,ламберти
lupe-cholet,люпе-шоле
golden,голден
jesera,йезера
nacional,насиональ
mar,мар
des,аос
lansade,лансад
rothschild,ротшильд
ca'de'rocchi,кадерокки
grandi,гранди
pruno,пруно
kakhuri,кахури
feinherb,файнхерб
alcamo,алкамо
ville,вилле
lola,лола
elephant,элефант
merlot-cabernet,мерло-каберне
gelendzhik,геленджик
torero,тореро
dry,джин
minervois,минервуа
d'avola,авола
helter,хелтер
castas,кашташ
rubicone,рубиконе
export,экспорт
lugana,лугана
chateau,бало
croce,кроче
loupiac,лупьяк
all'uso,аль'узо
faiblesse,феблесс
pecorino,пекорино
una,уна
piccini,пичини
lieu-dit,лье-ди
villefranche,вильфранш
muriel,муриэль
piave,пьяве
neferis,неферис
parussi,парусси
oak,оак
sophenia,софениа
rocca,ронки
visco,виско
johnson,джонсон
minho,миньо
cartoixa,картоикша
amicone,амиконе
rum,ром
ducasse,дюкасс
malasana,маласанья
gaisberg,гайсберг
coldstream,колдстрим
nicola,никола
maginet,мажине
grinon,ринкон
porcupine,поркьюпайн
franco,франко
fine,файн
steadfast,стэдфаст
strozzi,строцци
alea,алеа
gaio,гайо
launcelot,ланселот
ista,иста
provincha,провинча
house,хаус
philippe,филипп
levis,левис
ringberg,рингберг
segreta,сегрета
list,лист
santi,санти
chantegrive,шантегрив
zancudo,занкудо
connetable,коннетабль
rousseau,руссо
viejo,вьехо
terrazul,терразул
amarone,амароне
ricossa,рикосса
collection,коллексьон
tollodouro,тольодоуро
passo,пассо
duquesa,дюкеса
espanol,эспаньол
mancasale,манказале
gsm,гсм
solaia,солайя
touriga,турига
solco,солко
noir-syrah,нуар-сира
olive,олив
corvo,корво
langhe,ланге
bergerac,бержерак
gatos,гатос
stein,штайн
malandes,маланд
supérieur,суперьёр
monteiasi,монтейази
sancerre,сансер
staforte,стафорте
barbier,барбье
figeac,фижак
kellerei,келлерей
masca,маска
tommasi,томмази
kukabara,кукабара
d`oc,д`ок
reysson,рейссон
peak,пик
spinetta,спинетта
d'autore,д'ауторе
alta,альта
nivole,ниволе
rise,райз
sopra,сопра
mouton,мутон
olivier,оливье
criptana,криптана
gewurztraminer,гевюрцтраминер
privilege,привилеж
levarie,леварие
leo,лео
albaclara,альбаклара
amarone,амаронэ
flores,флорес
petrus,петрюс
nogal,ногаль
cellar,селлар
difese,дифезе
chiaretto,кьяретто
terre,терре
original,ориджинал
gravette,граветт
merlot-syrah,мерло-сира
finca,линда
aszu,асу
inzolia,инзолия
vougeot,вужо
bartolo,бартоло
kurni,курни
nova,носса
pioppeto,пьоппето
der,дер
ronco,ронко
vesuvio,везувио
fay,фэй
luma,лума
medallas,медальяс
bire,бире
sabatey,сабатэ
dos,дос
mundo,мундо
johnnie,джонни
arabella,арабелла
qualitatswein,квалитетсвайн
cuma,кума
vinzer,винцер
shiraz-mataro,шираз-матаро
terre,тэр
rosado,росадо
luis,луис
usadba,усадьба
monte,монте
barramundi,баррамунди
kagor,кагор
blanc-semillon,блан-семильон
majuri,маюри
vignerons,вигнерон
fevre,февр
hans,ханс
pareto,парето
bio,био
marguerite,маргэрит
badagoni,бадагони
mire,мире
donne,донне
insolite,инсолит
konigsbacher,кенигсбахер
cinzano,чинзано
ottavia,оттавиа
andino,андино
castello,кастелло
marco,марко
wenneker,веннекер
veltliner,вельтлинер
axia,аксия
pavie,пави
aalto,аальто
favorita,фаворита
alasia,алазия
dolores,долорес
guevara,гевара
bouchard,бушар
branco,бранко
pavillon,павийон
l’uetta,л`уэтта
senejac,сенежак
terruno,терруньо
saurs,сурс
valley,вэлли
jameson,джемесон
abbazia,аббация
poire,пуаре
kadette,кадетт
remy,реми
tasso,тассо
fonbel,фонбель
bourbon,бурбон
elegancia,элегансия
tabordet,таборде
jarrarte,харрарте
riscal,рискаль
bernardine,бернардин
glenfiddich,гленфиддик
saint-estephe,сэнт-эстеф
monna,монна
merino,мерино
pasa,паса
mestanza,местанса
saint-emilion,сент-эмильон
mori,мори
donoratico,доноратико
expressions,экспрэшнс
miranzana,миранзана
bertani,бертани
roccamora,роккамора
las,лас
sense,сэнс
palmer,пальмер
concordia,конкордиа
chieteno,киетено
akira,акира
classico,классико
salomon,саломон
luce,люче
perusini,перусини
belcanto,бельканто
mollydooker,моллидукер
millesimato,миллезимато
dorada,дорада
select,селект
brae,брэй
des,дез
noble,ноубл
echeverria,эчеверрия
limitata,лимитата
oro,оро
messias,мессиаш
labrit,лабри
lucky,лаки
alessandro,алессандро
dilhac,дилак
grial,гриаль
personal,персональ
sunrise,санрайз
myon,мион
esteban,эстебан
villette,виллетт
meirana,мейрана
harslevelu,харшлевелю
sella,селла
obikwa,обиква
ossa,осса
bruza,бруза
aliwen,аливен
block,блок
pear,пеа
synthesis,синтезис
ginepri,джинепри
zinfandel-shiraz,зинфандель-шираз
sughera,сугера
kadarka,кадарка
angimbe,анджимбе
torres,торрес
jim,джим
dulong,дюлонг
fresh,фреш
roble,робле
l'ousteau,л'усто
bonarda,бонарда
qualitatswein,квалитатсвайн
corde,корде
batasiolo,батазиоло
tarima,тарима
gulbahar,гюльбахар
cosecha,косеча
medium,медиум
rufina,руфина
chester’s,честер'с
teacher's,тичерс
perovskih,перовских
frontera,фронтера
douglas,дуглас
vivanza,виванза
barbaresco,барбареско
principato,принчипато
crianza,крианса
coconut,коконат
truffe,трюф
lavalette,лавалетт
anthilia,антилия
aromas,аромаш
ceste,честе
november,новембе
varietalis,вариеталис
marques,маркеш
donna,донна
carmenere,карменере
castiglione,кастильоне
priorat,приорат
hunting,хантинг
valdadige,вальдадидже
eberbach,эбербах
hochheimer,хоххаймер
pontet,понте
redhill,редхилл
series,сириес
costadune,костадуне
capellanes,капелланес
principi,принчипи
almendro,альмендро
fanagoria,фанагория
sveva,свева
val,валь
alenza,аленза
campolargo,камполарго
calon-segur,калон-сегюр
pierre,пьер
noir-merlot,нуар-мерло
san,сан
botrytis,ботритис
weiser,вайсер
tariri,тарири
dry,драй
lalande,лаланд
blason,блазон
rieussec,рьессек
trebbiano,треббьяно
upupa,упупа
daniel's,дениел'с
blanc,блан
celso,чельсо
gravelle,гравель
luz,лус
campofiorin,кампофиорин
frederic,фредерик
frankenstein,франкенштейн
millet,миллет
passerina,пассерина
falo,фало
mendoza,мендоза
heredad,эредад
oblisco,облиско
sunkloof,санклоф
perriere,перрье
konigsbach,кенигсбах
yarra,ярра
pulin,пулин
kissing,киссин
velasco,веласко
auslese,ауслезе
nostra,ностра
croix,буа
torito,торито
formiga,формига
sevre,севр
udaca,удака
pessoal,пессоал
lagaza,лагаса
sirene,сирен
riunite,руините
cooperativas,кооперативаш
bassac,басак
bolzano,больцано
entre,антр
renacer,ренасер
parallele,параллель
semillon,семильон
lascombes,ласкомб
rafael,рафаэль
bordeaux,бордо
morgan,морган
kangun-rkatsiteli,кангун-ркацители
fortulla,фортулла
blanca,бланка
stobi,стоби
quadri,куадри
saperavi,саперави
lamothe,ламот
zweigelt,цвайгельт
jaume,жауме
conde,конде
schlossberg,шлоссберг
albis,албис
pinete,пинете
santenay,сантене
morinat,морина
michele,микеле
race,рас
muscadet,мюскаде
zorita,сорита
fute,фюме
bouju,бужу
negra,нэгра
villar,виляр
merindol,мериндол
trucking,тракинг
alma,альма
extreme,экстрем
parada,парада
red,рэд
sansonnet,сансонне
tre,тре
michel,мишель
daurat,доурат
caluso,калузо
shoulder,шоулдер
canon,канон
diligo,дилиго
track,трак
lupe,люпе
mont,мон
vinum,винум
burgunder,бургундер
olivos,оливос
venta,вента
rebel,ребел
milieu,милье
quintaluna,кинталуна
dodici,додичи
hennessy,хеннесси
irresistible,иррезистибль
anima,анима
pinot,пино
altogrande,альтогранде
grande,гранде
albizzia,альбиция
estilo,эстило
malagouzia,малагузия
charantes,шарант
tendida,тендида
padri,падри
principe,принчипе
platon,платон
hardys,хардис
fombrauge,фомброж
valtravieso,вальтравьесо
mers,мер
arancio,аранчо
casanova,казанова
doge,доже
alicante,аликанте
schenk,шенк
moulin,мулян
vignee,винье
rocca,рокка
livio,ливио
winkl,винкл
teliani,телиани
veltliner,велтлинер
michel,михель
heninger,хенингер
eder,эдер
das,дао
roques,рокеш
l’heritage,л’эритаж
st-julien,сен-жульен
vignoble,винобль
garrer,гаррер
montere,монтере
valpolicella,вальполичелла
pago,паго
baglio,бальо
loimer,лоймер
marchese,маркезе
altosur,альтосур
valmur,вальмюр
anniversary,анниверсари
cape,кейп
butera,бутера
cardo,кардо
crete,крете
amigos,амигос
bene,бене
velho,вело
suzanne,сюзан
giovanni,джованни
pagodes,пагод
roccolo,рокколо
hawke's,хоукс
lindberg,линдберг
anderra,андерра
preta,прета
ormentino,орментино
branda,бранда
rivaner,риванер
langmeil,лангмейл
zinfandel,зинфендель
perno,перно
ruby,руби
mukhrani,мухрани
august,аугуст
rocco,рокко
marjosse,маржос
nemea,немея
nenin,ненэн
masseria,массерия
alvarinho,алваринью
single,сингл
sibaris,сибарис
vermentino,верментино
poliziano,полициано
matteo,маттео
navajas,навахас
nuits-saint-georges,нюи-сен-жорж
tempranillo-merlot,темпранильо-мерло
las,ламас
clos,кло
berger,берже
cosuenda,косуенда
virou,виру
poisets,пуазе
cahors,каор
tutto,тутто
brazin,бразин
dal,даль
cume,куме
classic,классик
valdemoreda,вальдемореда
oak,оук
vin,вин
les,плас
salinas,салинас
coast,коаст
lair,лэйр
eight,эйт
olmeca,ольмека
donan,донау
ripudiato,рипутиадо
camicie,камиче
alto,альто
clarendelle,кларендель
lagrein,лагрейн
white,вайт
cointreau,куантро
dolmo,долмо
lambrusco,ламбруско
seleccione,селеционе
jougrand,жугран
nozzole,нодзоле
series,сериес
sant'urbano,сант'урбано
irpinia,ирпинья
perlato,перлато
sanz,санз
verga,верга
chalet,шале
estates,естейтс
digna,дигна
alazani,алазани
hussonet,хуссонет
serafino,серафино
hog,хог
gravet,граве
zovo,зово
cavino,кавино
quinta,кинта
compte,конт
brard,брар
symphony,симфония
banrock,бэнрок
modus,модус
chandon,шандон
zidarich,зидарич
kleio,клейо
emilion,эмилион
lu’li,лу`ли
agora,агора
lermont,лермонт
siciliane,сицилиан
gold,голд
cervaro,черваро
blondeau,блондо
egomei,эгомей
tannat,таннат
sabri,сабри
tonnelet,тоннелет
pin,пэн
fiano,фиано
trockenbeerenauslese,трокенберенауслезе
galodoro,галодоро
nerobaronj,неробарони
gassac,гассак
adeo,адео
mask,маск
london,лондон
artero,артеро
paco,пако
pigato,пигато
hugel,хюгель
ripasso,рипассо
felipe,фелипе
beam,бим
amalaya,амалайя
lunar,лунар
poggioalto,поджиоальто
merlo,мерло
morabianca,морабьянка
referts,рефер
lozano,лозано
promenade,променад
trijumf,триумф
cream,крим
pomerol,помроль
martin,мартен
coach,коуч
gries,гриз
terlano,терлано
remesal,ремесаль
mandorle,мандорле
emilio,эмилио
clemente,клементе
kinsey,кинси
signature,сигнатюр
puiatti,пуйатти
enaria,энария
d’azur,д’азюр
daniel,даниэль
cantegril,кантегрил
brioso,бриосо
prisma,призма
pommard,поммард
volnay,вольне
kabinett,кабинет
noon,нун
piani,пьяни
tavedo,таведу
condrieu,кондриё
ciboise,сибуаз
montease,монтеазе
gros,гро
mediterraneo,медитерранео
oaked,оакт
cantine,кантине
antinori,антинори
madrasa,мадраса
intulo,интуло
marquis,маркиз
myskhako,мысхако
roero,роэро
nativ,натив
vecciano,вечиано
grillo,грилло
karmis,кармис
organic,органик
horse,хос
astrale,астрале
lucente,люченте
altura,альтура
chieti,кьети
vinedos,виньедос
siete,сьет
vito,вито
puglia,пулия
tinel-blondelet,тинель-блонделе
cyril,сирил
coste,косте
finage,финаж
woodhaven,вудхэвен
venete,венете
verdejo,вердехо
gabutti,габутти
seco,секо
baglari,баглари
press,пресс
aloxe-corton,алос-кортон
harvest,харвест
azul,азул
martelle,мартель
picard,пикар
radici,радичи
saint-anac,сент-анак
atlantico,атлантико
bell’s,бэллс
cortile,кортиле
shiraz-cabernet,шираз-каберне
left,лефт
napareuli,напареули
tenute,тенуте
alba,альба
puy,пуи
ruella,руэлла
margelle,маржелле
saint-bris,сен-бри
l'apparita,л'аппарита
matsu,матсу
maremma,маремма
forts,фор
lary,лари
porto,порто
flauta,флаута
arinto,аринто
pape,пап
cavatina,каватина
portes,порт
volo,воло
dominique,доминик
barkan,баркан
arnasi,арнази
marche,марке
invitare,инвитаре
intis,интис
villano,вийяно
kleinstein,кляйнштайн
blaye,блай
deep,дип
christmann,кристманн
sol,сол
negresco,негреско
pontet-canet,понте-кане
louis,луи
lojera,лойера
shavkapito,шавкапито
carolina,каролина
porca,порка
val,вал
winery,вайнери
roccafiore,роккафьоре
chateau,шато
domini,домини
friulano,фриулано
felsner,фелснер
classe,классе
albaria,албария
gum,гам
mayne,мейн
costamolino,костамолино
l'autre,л'отр
bolgheri,болгери
jumara,джумара
albino,альбино
parini,парини
fonterutoli,фонтерутоли
altrovino,альтровино
bernadotte,бернадотт
big,биг
corte,корте
beso,бесо
apanillo,апанильо
alex,алекс
marquis,марки
rubino,рубино
barista,бариста
asti,асти
rovertondo,ровертондо
soussans,суссан
larrivet,ларриве
romito,ромито
seifried,зайфрид
port,уорс
berland,берланд
stellenbosch,стелленбош
shays,шэйз
exupery,экзюпери
domdechant,домдешант
merlot,мерл
insoglio,инсолио
l'aumerade,л'омерад
ecologico,эколохико
petirrojo,петиррохо
boccantino,боккантино
petite,птит
rotaliano,ротальяно
saint,сен
redwood,рэдвуд
basilicata,базиликата
albia,албиа
disperato,дисперато
del,рей
zastolye,застолье
diehl,диель
minuty,минюти
vinedo,виньедо
kisi,киси
family,фемили
rutini,рутини
planta,планта
soutard,сутар
circo,сирко
small,смол
arinto,аринту
rawson's,роусонс
novello,новелло
alchimia,алхимия
merlot,мерло
doriane,дорьян
d’avola,д’авола
rene,рене
botrosecco,ботросекко
wide,вайд
shiraz-malbec,шираз-мальбек
hermon,хермон
terriccio,терриччио
gelber,гельбер
leyda,лейда
vollmer,воллмер
roulerie,рульри
doc,рока
last,ласт
genetin,женетен
edge,эйдж
promis,промис
caceres,касерес
weisser,вайссер
mtsvane,мцване
mud,мад
maligny,малини
pinho,пинью
bastia,бастия
vsop,всоп
tnt,тнт
gaffeliere,гаффельер
isola,изола
allram,аллрам
antica,антика
igt,ижт
das,даш
clavijo,клавихо
ca'lunghetta,ка'лунгетта
trenel,тренель
sichel,сишель
terradeiforti,террадеифорти
lintori,линтори
abadia,абадия
litttle,литтл
syrah-bonarda,сира-бонарда
valentino,валентино
carranc,карранк
lalomba,лаломба
valdegatiles,вальдегатилес
capannino,капаннино
pieve,пьеве
murca,мурса
soul,соул
palomino,паломино
jean,леон
galena,галена
les,лез
benedicte,бенедикт
tokaji,токай
captain,капитан
ernesto,эрнесто
est,ест
campogrande,кампогранде
bourgogne,бургонь
poggio,поджио
kemsirin,кемширин
marne,марне
carrion,каррьон
fiorenza,фьоренза
premier,премье
fanagoria,фанагории
serres,серрес
bahezre,баэзр
ascheri,аскери
giallo,джалло
d'asti,д’асти
pauly-bergweiler,паули-бергвайлер
macie,мачие
pasos,пасос
passo,пасо
lixa,лиша
borghetto,боргетто
bay,бэй
montepulciano,монтепульчиано
doctors,доктор
bodegones,бодегонес
costieres,костьер
welschriesling,вельшрислинг
marinetti,маринетти
ragotiere,раготьер
gambal,гамбал
cavalier,кавалье
soleretto,солеретто
aristocratico,аристократико
monastrell-cabernet,монастрель-каберне
salome,саломе
d'yquem,д'икем
moulin,мульен
pigoudet,пигоде
bon,о-бон
club,клуб
monterio,монтерио
sweet,свит
mile,майл
bon,бон
sizeranne,сизран
piopetto,пьопетто
ottonel,оттонель
umbria,умбрия
syrah-xinomavro,сира-ксиномавро
ursules,урсул
chapoutier,шапутье
dei,дей
goldmuskateller,голдмускателлер
godello,годельо
pato,пату
patri,патри
roqueta,рокета
torresella,торреселла
gialla,джалла
roland,ролан
costanza,костанза
torino,торино
azelia,адзелия
denis,дени
african,африкан
jadot,жадор
saint-estephe,сент-эстеф
pianetto,пьянетто
beneventano,беневентано
clarisse,кларисс
pippa,пиппа
manoir,мануар
salida,салида
schistes,шист
tinta,тинта
piancarda,пьянкарда
senilhac,сениляк
vinots,винот
antiche,антике
lison,лисон
avtorskoe,авторское
bertu,берту
carpess,карпесс
alvada,алвада
clarice,клариче
fabio,фабио
