brand,alias
saint-estephe,сэнт-эстеф
lugana,люгана
prato,прато
labory,лабори
lacas,лакас
coubet,кубэ
san,сан
gascogne,гасконь
negro,негро
castiglioni,кастильони
romitorio,ромиторио
gaffeliere,гафельер
requena,рекена
merlot,мерло
carlo,карло
corbin,корбен
byzantium,бизантиум
tarara,тарара
almendro,альмендро
ornellaia,орнеллайя
venezie,венецие
valmur,вальмюр
salento,саленто
mas,мас
barco,барко
barbaresco,барбареско
tommasi,томмази
isola,изола
jean,жан
sangiovese,санджовезе
senorio,сеньорио
torresella,торреселла
torre,торре
tierra,тьерра
rouge,руж
selection,селексьон
serre,серре
feudo,феудо
montepulciano,монтепульчано
arneis,арнеис
toscana,тоскана
pinot,пино
dilhac,дилак
saint-emilion,сент-эмильон
arabarte,арабарте
verona,верона
alea,алеа
robles,роблес
sala,сала
matteo,маттео
bascarlon,баскарлон
sicilia,сицилия
catuj,катуи
rose,роз
fabian,фабиан
manduria,мандурия
campo,кампо
lagrein,лагрейн
cabernet,каберне
castelgiocondo,кастельджокондо
bouchard,бушар
rosato,росато
malnera,мальнера
les,плас
llanos,льянос
placette,пласетт
bordeaux,бордо
aine,эне
tempranillo,темпранийо
della,делле
amarone,амароне
del,дель
langhe,ланге
maginet,мажине
collection,коллексьон
corvina,корвина
primitivo,примитиво
chiaretto,кьяретто
sole,соле
orvieto,орвието
plana,плана
gaio,гайо
villa,вилла
virou,виру
albert,альберт
vaisinerie,вэзинери
aguza,агуса
imperial,империал
gombeau,гомбо
cheteau,шато
soutard,сутар
cervaro,черваро
nuove,нуове
santa,санта
reale,реале
laville,лавиль
mandrin,мандрин
loir,луар
romito,ромито
real,реал
sancerre,сансер
bourgeois,буржуа
reserva,резерва
l'aumerade,л'омерад
ca`maiol,ка'майоль
graves,грав
blaye,вьей
barton,бартон
kossler,кёсслер
borgo,борго
gewurztraminer,гевюрцтраминер
bourbon,бурбон
gravet,граве
manon,манон
brunello,брунелло
senilhac,сенилак
ternynck,тернинк
sacre,сакре
d`oc,д`ок
castenet,кастене
coulonge,кулонж
crianza,крианса
airen,айрен
della,делла
roccamora,роккамора
valdegatiles,вальдегатилес
los,лос
vernous,верну
quercus,керкюс
janon,жанон
perno,перно
cuvee,кюве
pavillon,павийон
tariquet,тарике
rosieres,розьер
lacombe,лакомб
chiton,читон
freschello,фрескелло
chene,шен
coldisole,колдизоле
reserve,резерв
amarone,амаронэ
pasteur,пастор
guestier,гестье
malvasia,мальвазия
blanc,блан
perruchon,перрюшон
parisien,паризтен
alfano,альфано
roble,робле
sweet,свит
decordi,декорди
tinto,тинто
navarra,наварра
tenuta,тенута
montere,монтере
bastia,бастия
expression,экспрессьон
artos,артос
grigio,гриджо
puglia,пулия
clos,кло
domain,домэн
ferry,фери
veraz,верас
superiore,сюперьоре
matulan,матулан
joven,ховен
bon,бон
labarthe,лабарт
devalbert,девальбер
moulin,мулен
opera,опера
mongie,монжи
delatour,делатур
rouget,руже
graviere,гравьер
bichot,бишо
obalo,обало
curezza,курецца
umbria,умбрия
cos,кос
antano,антаньо
chavron,шаврон
saint-estephe,сент-эстеф
chablis,шабли
nera,неро
rosado,росадо
bosque,боске
croce,кроче
bula,була
gaseno,газено
monteiasi,монтейази
amadis,амадис
grial,гриаль
bosmel,бомель
niel,ниель
monte,монте
des,аос
bosio,бозио
medoc,медок
bianca,бьянка
segla,сегла
grigio,гриджио
jougrand,жугран
simon,симон
meru,меру
shiraz,шираз
medium,медиум
bourg,бур
castello,кастелло
classe,классе
cotes,кот
grecanico,греканико
zonin,зонин
santos,сантос
ista,иста
terre,терре
garrel,гаррель
petit,пти
dugal,дугаль
nenin,ненан
d'anjou,д'анжу
dominique,доминик
prayla,прайла
moulinet,мулине
rose,розе
soave,соаве
rhone,рон
trebbiano,треббьяно
fils,фис
blanche,бланш
don,дон
couspaude,куспод
classico,классико
folies,фоли
sant'antimo,сант'антимо
grillo,грилло
chenet,шене
lafleur,ляфлер
barolo,бароло
virou,винь
verdejo,вердехо
gavi,гави
ceretta,черетта
bassac,басак
grande,гранд
croix,круа
blanco,бланко
mira,мира
filon,филон
capezzana,капеццана
bianco,бьянко
patrizi,патрици
correges,корреж
grand,гран
golban,гольбан
rioja,риоха
montalcino,монтальчино
ripasso,рипассо
santofimia,сантофимия
provincha,провинча
valserrano,вальсеррано
lucia,лучиа
uomo,уомо
bardolino,бардолино
cru,крю
valpolicella,вальполичелла
lucente,люченте
feudo,фуэдо
