brand,alias
zb,зб
x,х
la,блан
et,п
up,л
et,юто
la,луар
et,э
de,о
de,дес
cf,кф
de,до
la,ина
x,мл
du,дез
do,ду
oak,ок
ms,эм
de,дозе
lou,лю
g,дж
in,ин
la,гр
g,г
rs,рс
d,дож
la,би
r,р
du,м
de,ож
xo,хо
d,дё
a,рар
les,лэ
bas,ба
dr,драй
guy,ги
l,мм
jack,ап
al,аль
el,ель
des,ве
j,ж
er,кро
up,из
el,эль
all,ол
de,бер
la,ля
du,пи
age,аж
the,зэ
da,да
de,по
da,се
fm,ф
e,е
d,д
de,тер
di,ида
by,бай
xo,иксо
le,вье
du,ле
du,ре
la,па
en,эн
la,для
de,де
the,зе
le,и
cu,ку
s,сыр
la,от
de,но
ac,эй
ca,ка
co,ко
du,дю
la,ге
di,ди
hc,нс
vt,вт
le,оле
ne,не
do,дона
mg,мг
c,лук
da,лб
la,ла
vau,во
mv,мв
de,дейц
je,же
ti,ти
am,ам
c,к
of,оф
a,а
en,ан
vs,мя
de,кре
i,нит
de,яз
de,дам
s,с
dr,др
vr,вр
b,б
vs,у
de,сек
si,си
o,рио
de,ли
il,иль
le,ра
le,олле
xo,икс
bc,бс
ed,ед
hors,ор
vs,вс
beau,бо
du,в
la,фе
des,дэ
